kgName,kinderGardenId,kgExternal,kgMapUrl,selectedRegionId,selectedRegionRegionName
ДГ №127 Слънце - сграда бл.91,222,127,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.675084,23.299609&spn=0.002343,0.005659&iwloc=0004dedcf34f8bf5a3c4c",10,Триадица
ДГ №129 Приказен свят,107,129,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.672229,23.302994&spn=0.00187,0.003626&t=h&z=18&iwloc=00044dd0b41176e255919",10,Триадица
ДГ №129 Приказен свят - сграда ул. Нишава,214,129,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.680905,23.291144&spn=0.003636,0.006899&t=h&z=17&iwloc=00049036e10b1a27dc771  ",10,Триадица
ДГ №129 Приказен свят - почасова организация,345,129,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.672229,23.302994&spn=0.00187,0.003626&t=h&z=18&iwloc=00044dd0b41176e255919",10,Триадица
"ДГ №129 Приказен свят - сграда ул. Нишава, почасова организация",346,129,,10,Триадица
ДГ №131  (с яслени групи),702,131,,10,Триадица
ДГ №167 Малкият принц,87,167,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.680401,23.308804&spn=0.001869,0.003626&t=h&z=18&iwloc=00044de242cbe42692ad1",10,Триадица
ДГ №167 Малкият принц - почасова организация,354,167,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.680401,23.308804&spn=0.001869,0.003626&t=h&z=18&iwloc=00044de242cbe42692ad1",10,Триадица
СДЯ №48 ,257,48,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.702402,23.285458&spn=0.007459,0.012832  ",11,Красна поляна
СДЯ №51 ,258,51,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&msa=0&ll=42.699485,23.282218&spn=0.00373,0.006416  ",11,Красна поляна
ДГ №54 Дъга (с яслени групи),41,54,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.692278,23.28445&spn=0.003738,0.007253&t=h&z=17&iwloc=00044da7a8fb3e614d83c",11,Красна поляна
ДГ №126 Тинтява,149,126,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.695089,23.282213&spn=0.001869,0.003626&t=h&z=18&iwloc=00044ddff5da6ad6ce66b",11,Красна поляна
ДГ №126 Тинтява - сграда 2,9,126,"https://www.google.com/maps/d/viewer?authuser=0&hl=bg&mid=zBJvLL_EO4pE.kkhSC76Er9fk&ll=42.69831,23.280834&spn=0.001869,0.003626&t=h&z=18&iwloc=00044de3cc6ccd47ef526",11,Красна поляна
